"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"OECD members","OED","6.7633644630913","6.6159076154527","7.1281549564944","7.2554440356806","7.1428128161925","6.7925964158237","6.2457931664044","5.7711083769185","6.0970949495203","8.2441060768298","8.4125247430995","8.0216050055738","7.9989495237599","7.9123382553692","7.3950761225094","6.8370758691637","6.4223206688899","5.8950455775782","5.4574076664668","5.3926324830927","7.2723682664634"
"Oman","OMN","","","","","","","","","4.14","","","","","","","","3.27","","1.8","",""
"Other small states","OSS","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","PAK","7.16","6.88","7.83","7.49","7.4","7.05","0.58","0.4","0.42","0.54","0.65","0.8","","2.95","1.83","3.57","","","4.08","",""
"Panama","PAN","13.53","14.71","14.11","13.62","12.44","10.33","9.11","6.78","4.87","6.56","3.71","2.31","2.39","2.3","2.72","3","3.31","3.9","3.89","4.74","18.55"
"Peru","PER","7.8","7.88","4.84","4.15","4.7","4.88","4.18","4.04","4.04","3.98","3.58","3.48","3.24","3.57","3.21","3.27","3.74","3.69","3.49","3.38","7.18"
"Philippines","PHL","11.19","3.7","","3.53","3.55","3.8","4.05","3.43","3.72","3.86","3.61","3.59","3.5","3.5","3.6","3.07","2.7","2.55","2.34","2.24",""
"Palau","PLW","3.3","","","","","4.18","","","","","","","","","1.36","","","","","",""
"Papua New Guinea","PNG","2.92","","","","","","","","","","2","2.62","","","","","","","","",""
"Poland","POL","16.31","18.37","19.89","19.37","19.07","17.75","13.84","9.6","7.12","8.17","9.64","9.63","10.09","10.33","8.99","7.5","6.16","4.89","3.85","3.28","3.16"
"Pre-demographic dividend","PRE","","","","","","","","","","","","","","","","","","","","",""
"Puerto Rico","PRI","10.08","11.4","11.94","11.78","10.31","11.35","11.01","10.93","11.48","15","16.1","15.7","14.5","14.3","13.9","12","11.8","10.8","9.2","8.3",""
"Korea, Dem. People's Rep.","PRK","","","","","","","","","","","","","","","","","","","","",""
"Portugal","PRT","3.81","3.83","4.5","6.13","6.32","7.58","7.65","7.96","7.55","9.43","10.77","12.68","15.53","16.18","13.89","12.44","11.07","8.87","6.99","6.46","6.79"
"Paraguay","PRY","7.61","6.21","9.39","6.81","6.51","4.82","5.28","4.71","4.42","5.46","4.57","4.67","4.09","4.38","5.03","4.56","5.25","4.61","6.22","6.59","7.55"
"West Bank and Gaza","PSE","10.63","21.49","27.46","23","23.21","20.02","19.01","18.28","22.91","20.45","21.42","17.6","19.2","19.89","20.53","23","23.94","25.68","26.26","25.34","25.89"
"Pacific island small states","PSS","","","","","","","","","","5.7571580970115","","","","","","","","","","",""
"Post-demographic dividend","PST","6.3745676882673","6.2209461760148","6.6262498010763","6.7221954731995","6.5158347336146","6.2129031793594","5.8576578002142","5.4604103258281","5.8017805846822","8.0142160045194","8.3072466556672","7.9418358684051","7.9958466113039","7.9079441893638","7.3878233180032","6.8204428389383","6.3997486697126","5.8332293450528","5.2914970794163","4.9813054381167","6.8424363390884"
"French Polynesia","PYF","","","11.71","","","","","11.74","","","","","","","","","","","","",""
"Qatar","QAT","","","","","1.48","","0.87","0.52","0.31","0.31","0.45","0.56","0.48","0.28","0.2","0.17","0.15","0.14","0.11","0.1",""
"Romania","ROU","6.97","6.56","8.11","6.95","7.72","7.17","7.27","6.41","5.79","6.86","6.96","7.18","6.79","7.1","6.8","6.81","5.9","4.93","4.19","3.91","5.03"
"Russian Federation","RUS","10.58","8.98","7.88","8.21","7.76","7.12","7.06","6","6.21","8.3","7.37","6.54","5.44","5.46","5.16","5.57","5.56","5.21","4.85","4.5","5.59"
"Rwanda","RWA","","","0.89","","","","","","","","","","","","1.17","","","17.36","15.11","15.3",""
"South Asia","SAS","3.2389906361864","","","","","3.0774168554171","","","","","2.3891109541117","","2.6933862626486","","","","","","5.156110672145","5.2617471265602",""
"Saudi Arabia","SAU","4.57","4.62","5.27","5.56","5.82","6.05","6.25","5.73","5.08","5.38","5.55","5.77","5.52","5.57","5.72","5.59","5.65","5.89","6.04","",""
"Sudan","SDN","","","","","","","","","14.8","13","","17.44","","","","","","","","",""
"Senegal","SEN","","","5.65","","","","10.03","","","","","10.36","","","","6.76","4.39","3.64","","",""
"Singapore","SGP","3.7","3.76","5.65","5.93","5.84","5.59","4.48","3.9","3.96","5.86","4.12","3.89","3.72","3.86","3.74","3.79","4.08","4.2","","3.1",""
"Solomon Islands","SLB","","","","","","","","","","2.02","","","","0.69","","","","","","",""
"Sierra Leone","SLE","","","","","3.42","","","","","","","","","","4.68","","","","","",""
"El Salvador","SLV","6.96","6.96","5.73","6.26","6.05","7.22","6.57","6.41","5.88","7.33","4.89","4.3","3.84","3.69","4.15","4","4.42","4.39","4.01","4.17",""
"San Marino","SMR","2.8","","","","","2.11","1.63","","","4.02","4.37","5.06","5.19","6.08","6.61","7.38","6.45","","","5.8",""
"Somalia","SOM","","","","","","","","","","","","","","","","","","","","",""
"Serbia","SRB","12.6","12.8","13.8","15.2","18.5","20.85","20.85","18.06","13.7","16.14","19.22","22.97","24","22.15","19.22","17.66","15.26","13.48","12.73","10.39","9.01"
"Sub-Saharan Africa (excluding high income)","SSA","","","","","","","","","","","","","","","","","","","","",""
"South Sudan","SSD","","","","","","","","","12.15","","","","","","","","","","","",""
"Sub-Saharan Africa","SSF","","","","","","","","","","","","","","","","","","","","",""
"Small states","SST","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","STP","14.4","15.73","17.63","16.36","16.12","16.47","16.65","","","","","","13.59","","","","","","","",""
"Suriname","SUR","","","","","9.49","","","","","8.72","7.15","7.54","8.1","6.6","6.94","7.22","7.92","","","",""
"Slovak Republic","SVK","19.06","19.38","18.72","17.12","18.6","16.26","13.37","11.14","9.51","12.03","14.38","13.62","13.96","14.22","13.18","11.48","9.67","8.13","6.54","5.75","6.69"
"Slovenia","SVN","6.92","5.68","5.92","6.48","6.01","6.51","5.95","4.82","4.37","5.86","7.24","8.17","8.84","10.1","9.67","8.96","8","6.56","5.11","4.45","4.97"
"Sweden","SWE","5.47","4.73","4.97","5.55","6.69","7.49","7.07","6.16","6.23","8.35","8.61","7.8","7.98","8.05","7.95","7.43","6.99","6.72","6.36","6.83","8.29"
"Eswatini","SWZ","","","","","","","","28.24","","","","","","","","","22.72","","","",""
"Sint Maarten (Dutch part)","SXM","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","SYC","","","9.81","","","5.5","","","","","","4.11","","","3.84","4.15","3.96","3.71","3.53","2.97",""
"Syrian Arab Republic","SYR","","11.63","11.68","10.28","","","8.17","8.42","10.94","8.14","8.61","","","","","","","","","",""
"Turks and Caicos Islands","TCA","","9.71","6.18","7.77","9.86","8.04","7.45","5.43","8.3","","","","","","","","","","","",""
"Chad","TCD","","","","","","","","","","","","","","","","","","","1.13","",""
"East Asia & Pacific (IDA & IBRD countries)","TEA","3.5938112616443","3.7734076943128","4.0996880683041","4.3158034197137","4.3165237693869","4.4570800667893","4.3496850398245","4.1897220201053","4.3717430773731","4.2190032311846","3.9283459318836","3.8714100838109","3.7992046710602","3.7449180015272","3.7585471216378","","","3.5679694860348","3.4991118163889","4.402863736905",""
"Europe & Central Asia (IDA & IBRD countries)","TEC","10.148220844558","9.7769740634945","9.6798537219425","9.4451876903069","9.1951190991723","8.5950914533908","7.9918822173965","7.2909908185018","7.1759783248071","8.9415966801662","8.6085879410178","7.9127973620485","7.4255831615998","7.4853313404724","7.5505574073199","7.5396378688285","7.475819099743","7.1180286109516","6.9251400910092","7.0246294884772","7.2198844946585"
"Togo","TGO","","","","","","","4.23","","","","","1.98","","","5.47","2.2","","3.74","","",""
"Thailand","THA","2.39","2.6","1.82","1.54","1.51","1.35","1.22","1.18","1.18","1.49","0.62","0.66","0.58","0.25","0.58","0.6","0.69","0.83","0.77","0.72","1.1"
"Tajikistan","TJK","2.7","2.3","2.5","2.4","2","2","2.2","2.5","","11.5","","","","","","","6.9","","","",""
"Turkmenistan","TKM","","","","","","","","","","4","4","","","","","","","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","","8.9097180424839","9.3897340472865","9.0520924293259","8.4228485308745","8.0450893839499","7.2438260297511","7.0089681277827","6.4306261477291","7.4708892717952","","6.3747547590033","6.4083411555611","6.2380685486421","5.9927139474799","6.5056850219276","7.6793744072315","8.0109910799384","8.0294573040565","8.0922882486856","10.63060642065"
"Timor-Leste","TLS","","","","","","","","","","","3.3","","","10.99","","","4.66","","","",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","","","13.585963844114","","11.81260924589","12.40520718654","11.093955863591","10.406066911412","10.299166346778","10.416056660987","10.980060079366","11.674948657415","11.904225452141","11.445912815522","11.422469261022","11.79964387348","11.863456719873","12.726903771795","","",""
"Tonga","TON","","","","5.18","","","1.09","","","","","","","","","","","","3.07","",""
"South Asia (IDA & IBRD)","TSA","3.2389906361864","","","","","3.0774168554171","","","","","2.3891109541117","","2.6933862626486","","","","","","5.156110672145","5.2617471265602",""
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","TTO","12.1","10.88","10.39","10.48","8.33","7.95","6.27","5.54","4.63","5.28","4.03","3.43","3.72","2.68","2.48","2.43","3.21","","","",""
"Tunisia","TUN","14.94","14.4","14.55","14.51","14.23","12.87","12.51","12.36","12.44","13.29","13.05","18.33","17.63","15.93","","15.16","15.56","15.33","15.46","15.13",""
"Turkey","TUR","6.5","8.38","10.36","10.54","10.84","10.64","8.72","8.87","9.71","12.55","10.66","8.8","8.15","8.73","9.88","10.24","10.84","10.82","10.89","13.67","13.11"
"Tuvalu","TUV","","","6.53","","","","","","","","","","","","","","8.49","","","",""
"Tanzania","TZA","","2.99","3.6","","","","3.3","","","2.5","","3.47","","2.93","2.12","","","","","",""
"Uganda","UGA","","","3.5","3.6","","1.9","","","","3.6","","","3.55","1.91","","","","10.09","","",""
"Ukraine","UKR","11.71","11.06","10.14","9.06","8.59","7.18","6.81","6.35","6.36","8.84","8.1","7.85","7.53","7.17","9.27","9.14","9.35","9.5","8.8","8.19",""
"Upper middle income","UMC","5.0091562909617","5.5481026326232","5.7971308227743","5.9299997249575","5.7109263750441","5.6271239994509","5.4076122768261","5.1851454085236","5.1743432456849","5.7043294170332","5.2014557171341","5.1911950835644","5.1650539610217","5.0823157923189","5.1239374451636","","","5.5694985780159","5.4037979463097","6.3438161363623",""
"Uruguay","URY","12.63","15.05","16.65","16.66","12.98","12.01","10.84","9.4","8.03","7.74","7.16","6.31","6.45","6.44","6.55","7.49","7.84","7.89","8.34","8.88","10.35"
"United States","USA","3.99","4.73","5.78","5.99","5.53","5.08","4.62","4.62","5.78","9.25","9.63","8.95","8.07","7.37","6.17","5.28","4.87","4.36","3.9","3.67","8.05"
"Uzbekistan","UZB","0.4","0.4","0.4","0.3","0.4","0.3","0.2","4.99","4.89","5","5.4","5","4.9","4.9","5.1","5.2","5.2","5.8","9.3","9",""
"St. Vincent and the Grenadines","VCT","","21.1","","","","","","","18.79","","","","","","","","","","","",""
"Venezuela, RB","VEN","13.989999771118","8.83","16.17","16.78","15.069999694824","10.66","8.61","7.28","6.25","6.1","7.11","6.9","6.6","7.539999961853","","","5.32","5.05","","",""
"British Virgin Islands","VGB","","","","","","","","","","","","","","","","","","","","",""
"Virgin Islands (U.S.)","VIR","","","","","","","","","","","","","","","","","","","","",""
"Vietnam","VNM","2.26","2.76","2.12","2.25","2.14","","","2.03","","1.74","1.11","1","1.03","1.32","1.26","1.85","1.85","1.87","1.16","2.04","2.39"
"Vanuatu","VUT","","","","","","","8.01","","","4.56","1.85","","","","","","","","","7.94",""
"World","WLD","5.343762811336","5.9952537094866","","6.4061826505852","6.399244527161","5.4978009594765","5.7556941821487","5.478105847798","","6.2504065100866","5.3898324893882","5.8486983159258","5.4050147056073","5.6301178399834","5.5866556199639","","","5.7016695111743","5.2742926777093","5.7045553680938",""
"Samoa","WSM","","4.96","","","","","1.29","","","","","5.68","8.75","","8.72","","","14.47","","",""
"Kosovo","XKX","","57","55","49.7","39.7","41.4","44.9","46.3","47.5","45.4","","","30.88","","35.15","32.93","27.47","30.34","29.42","25.56",""
"Yemen, Rep.","YEM","","","","","16.23","16.05","15.7","15.33","14.97","14.63","17.82","","","","13.47","","","","","",""
"South Africa","ZAF","29.88","30.69","33.29","32.31","29.45","29.12","28.34","26.54","22.41","23.52","24.68","24.64","24.73","24.56","24.89","25.15","26.54","27.04","26.91","28.47","29.22"
"Zambia","ZMB","12.93","","","","","15.9","","","7.93","","13.19","","7.85","","","","","11.63","12.01","12.52",""
"Zimbabwe","ZWE","","","","","4.39","","","","","","","5.37","","","4.77","","","","","16.86",""
